id,radius
3017,0.53
2523,0.85
1609,0.47
2642,0.87
476,0.75
4879,0.08
3742,0.39
5304,0.5
2842,0.54
2409,0.82
5218,0.43
230,0.94
5107,0.68
2187,0.91
3217,0.32
1695,0.75
2534,0.26
5388,0.39
1788,0.16
1044,0.21
3968,0.95
17,0.17
534,0.89
3316,0.62
1128,0.52
3858,0.14
2346,0.83
5084,0.11
4945,0.27
1837,0.22
1496,0
5077,0.96
4629,0.71
5805,0.82
2758,0.96
2436,0.19
712,0.99
4781,0.99
3101,0.37
3285,0.19
4619,0.91
4601,0.02
4944,0.02
2892,0.48
5701,0.7
676,0.29
3080,0.73
3658,0.9
2441,0.51
1720,0.16
14,0.34
1223,0.84
915,0.49
2045,0.88
1501,0.57
2575,0.22
5272,0.9
969,0.92
1038,0.78
2887,0.6
65,0.62
755,0.51
4949,0.69
4322,0.36
1820,0.4
1488,0.18
506,0.63
2792,0.79
5679,0.12
4961,0.58
3700,0.7
3933,0.85
710,0.95
2154,0.47
88,0.6
2451,0.2
889,0.41
3660,0
2918,0.82
3214,0.84
1451,0.23
1421,0.62
1199,0.84
783,0.03
626,0.44
1047,0.72
877,0.33
420,0.36
5620,0.67
2572,0.51
373,0
3414,0.48
1652,0.26
1101,0.44
3114,0.83
2655,0.72
3956,0.62
5831,0.76
5193,0.8
655,0.53
5704,0.62
705,0.65
5143,0.65
2149,0.11
4630,0.13
1379,0.77
1197,0.41
4676,0.94
4317,0.56
5420,0.84
3047,0.21
181,0.53
5033,0.75
1181,0.97
3516,0.07
964,0.53
561,0.79
3768,0.63
4853,0.49
1073,0.63
1310,0.12
1183,0.79
4342,0.7
3551,0.1
1718,0.94
259,0.97
279,0.71
5192,0.59
1411,0.01
198,0.49
5533,0.57
2288,0.58
4060,0.76
1244,0.74
4581,0.18
2988,0.28
4562,0.36
683,0.02
5811,0.43
5645,0.6
3822,0.97
1400,0.89
4806,0.4
5828,0.81
4347,0.5
1253,0.39
3126,0.17
2619,0.2
5490,0.73
1406,0.85
5937,0.03
2819,0.59
2323,0.27
5889,0.14
3113,0.84
2263,0.22
2181,0.34
15,0.43
5445,0.87
351,0.37
1220,0.81
5917,0.94
4172,0.56
3116,0.15
3836,0.11
1756,0.13
2213,0.17
3838,0.6
3944,0.25
1871,0.61
5071,0.36
2226,0.8
535,0.76
2775,0.91
3089,0.62
2873,0.6
4999,0.19
3109,0.19
5895,0.78
2991,0.33
1407,0.3
2223,0.1
4599,0.28
3560,0.77
2029,0.12
1454,0.3
8,0.09
3322,0.25
5583,0.5
3382,0.76
2742,0.54
794,0.67
2925,0.19
1032,0.72
5075,0.79
426,0.68
33,0.53
4127,0.22
44,0.25
4534,0.77
1891,0.38
2276,0.15
3678,0.83
4769,0.79
5314,0.27
5452,0.29
4072,0.75
2596,0.4
63,0.75
2378,0.48
2273,0.7
3606,0.37
5178,0.68
1694,0.16
3162,0.99
3209,0.44
2670,0.2
5372,0.17
3264,0.55
1545,0.2
3749,0.24
586,0.11
2420,0.18
3833,0.08
2215,0.68
2440,0.26
2582,0.89
1330,0.37
5184,0.11
2244,0.87
3882,0.76
5719,0.57
3859,0.03
3210,0.89
5006,0.53
3792,0.53
2317,0.38
473,0.7
1480,0.95
5355,0.89
297,0.17
303,0.04
5041,0.68
2851,0.76
810,0.39
1295,0.6
3043,0.79
5579,0.59
3012,0.4
1168,0.28
240,0.52
4840,0.36
3055,0.75
2704,0.74
1859,0.47
2676,0.5
