product,sales
1003333,636
1003334,1248
1003335,7
1003336,98
1003337,108
1003338,540
1003339,268
1003340,42
1003341,87
1003343,36
1003344,42
1003345,4
1003346,394
1003347,966
1003348,11
1003349,16
1003350,76
1003351,2561
1003352,9
1003353,4
1003355,522
1003357,50
1003358,60
1003359,4
1003360,1
1003361,24
1003363,120
1003366,4
1003368,19
1003369,4
1003370,3
1003371,19
1003372,4
1003373,9
1003374,10
1003375,10
1003377,67
1003379,21
1003380,12
1003381,5
1003383,26
1003385,19
1003387,10
1003388,7
1003393,13
1003395,31
1003396,22
1003397,56
1003398,11
1003399,169
1003400,178
1003401,9
1003402,21
1003403,11
1003404,7
1003405,86
1003407,33
1003408,3
1003409,12
1003410,31
1003411,4
1003412,3
1003413,2
1003414,1
1003415,298
1003416,29
1003418,20
1003419,2
1003422,4
1003423,159
1003424,101
1003425,25
1003426,1
1003427,4
1003428,46
1003429,210
1003430,43
1003433,4
1003435,500
1003436,1
1003437,103
1003438,7
1003439,8
1003440,608
1003441,5
1003442,3
1003443,3
1003445,9
1003447,561
1003450,3
1003451,4
10502046,1
10502050,1
10502055,1
10502067,2
10502088,1
10502090,1
10502093,1
10600067,1
10600171,1
10700002,2
10700011,5
10700012,5
10700013,4
10700017,1
10700022,11
10700031,2
10700035,3
10700038,2
10700039,5
10700041,22
10700047,3
10700048,22
10700054,2
10700055,109
10700061,2
10700067,6
10700068,1
10700070,54
10700071,12
10700073,23
10700074,2
10700078,29
10700080,1
10700083,1
10700089,9
10700093,6
10700101,18
10700103,4
10700107,27
10700109,1
10700110,4
10700111,1
10700117,2
10700118,2
10700121,1
10700133,1
10700135,17
10700136,2
10700137,2
10700138,14
10700142,1
10700144,2
10700146,2
10700147,1
10700151,1
10700155,1
10700158,59
10700159,1
10700163,1
10700168,6
10700170,2
10700175,6
10700177,5
10700194,1
10700230,1
10700232,1
10700234,1
10700235,1
10700242,4
10700289,6
10700315,1
10700374,2
10700396,1
10700397,3
10700410,1
10700412,2
10700430,1
10700447,3
10700468,1
10700470,3
10700474,27
10700477,2
10700480,3
10700481,1
10700482,1
10700483,2
10700484,1
10700487,9
10700489,5
10700491,12
10700549,2
10700550,4
10700596,1
10700612,1
10700631,2
10700656,5
10700661,1
10700664,9
10700665,1
10700689,1
10700694,5
10700705,1
10700706,4
10700709,1
10700712,13
10700718,1
10700723,22
10700724,6
10700725,2
10700726,1
10700727,258
10700728,2
10700729,1
10700730,11
10700732,12
10700734,1
10700735,1
10700739,5
10700743,3
10700745,42
10700747,2
10700748,9
10700750,2
10700757,4
10700759,11
10700761,27
10700772,14
10700773,2
10700774,58
10700775,22
10700776,2
10700777,1
10700781,1
10700783,10
10700798,2
10700804,1
10700811,5
10700812,147
10700817,4
10700818,1
10700820,1
10700826,31
10700827,20
10700830,2
10700832,2
10700834,1
10700835,1
10700837,118
10700838,9
10700843,8
10800000,1
10800001,15
10800002,18
10800003,1
10800004,21
10800005,10
10800006,1
10800007,3
10800008,1
10800010,1
10800012,6
10800013,2
10800014,13
10800015,17
10800025,148
10800026,6
10800032,1
10800034,5
10800044,6
10800048,21
10800063,22
10800064,1
10800068,224
10800073,4
10800074,82
10800075,3
10800076,8
10800077,10
10800078,12
10800079,25
10800083,1
10800084,17
10800085,3
10800086,1
10800087,1
10800091,1
10800094,2
10800099,1
10800100,4
10800101,1
10800102,1
10800113,1
10800114,1
10800122,2
10800124,12
10800126,4
10800127,1
10800132,5
10800145,1
10900000,2
10900003,213
10900004,50
10900005,27
10900006,4
10900009,18
10900010,3
10900013,30
10900015,5
10900016,1
10900019,12
10900022,4
10900023,4
10900025,1
10900026,42
10900028,7
10900029,62
10900030,2
10900031,2
10900032,3
10900034,1
10900036,72
10900040,280
10900041,125
10900043,10
10900044,74
10900048,2
10900059,33
10900063,2
10900067,1
10900068,1
10900073,1
10900089,1
10900096,1
10900105,20
10900113,102
10900114,13
10900115,50
10900117,7
10900120,1
10900122,12
10900124,2
10900125,5
10900130,6
10900137,27
10900139,1
10900140,2
10900150,1
10900152,2
10900153,2
10900154,5
10900155,1
10900168,2
10900206,2
10900207,2
10900210,2
10900211,2
10900223,2
10900234,1
10900258,1
11000000,40
11000002,1
11000005,15
11000006,45
11000008,1
11000010,9
11000011,5
11000013,1
11000016,3
11000018,3
11000022,1
11000023,1
11000024,17
11000025,5
11000027,2
11000030,15
11000033,1
11000037,1
11000039,2
11000042,4
11000043,1
11000044,1
11000045,2
11000049,2
11000055,1
11000060,1
11000062,30
11000068,2
11000073,1
11000078,3
11000079,3
11000085,4
11000087,9
11000088,1
11000096,12
11000097,31
11000098,3
11000101,46
11000103,1
11000110,2
11000112,21
11000120,2
11000123,2
11000126,1
11000128,5
11000129,2
11000144,1
11000145,6
11000149,1
11000182,1
11100000,2
11100002,33
11100003,4
11100004,186
11100008,13
11100010,1
11100011,9
11100012,1
11100014,3
11100016,1
11100017,1
11100019,1
11100023,10
11100024,2
11100025,2
11100026,1
11100027,26
11100028,1
11100031,12
11100054,1
11100062,1
11100064,1
11100069,1
11100071,2
11100078,1
11100081,3
11100082,1
11100083,4
11100104,1
11100105,3
11100115,4
11100116,1
11100117,1
11100118,2
11100119,1
11100120,2
11100121,1
11100133,8
11100134,10
11100137,3
11100144,1
11100145,1
11100146,2
11100147,7
11100149,2
11100152,1
11100153,2
11100156,51
11100157,11
11100160,1
11100161,5
11100163,6
11100164,1
11100178,1
11200001,14
11200002,19
11200006,56
11200007,5
11200008,1
11200009,1
11200016,31
11200017,15
11200018,1
11200020,13
11200021,73
11200023,1
11200024,3
11200025,1
11200028,2
11200029,7
11200031,1
11200038,2
11200039,1
11200041,77
11200043,1
11200044,3
11200045,4
11200049,1
11200058,120
11200062,1
11200063,1
11200064,2
11200069,7
11200070,3
11200076,2
11200099,6
11200100,13
11200106,1
11200117,3
11200118,1
11200121,36
11200132,1
11200139,1
11200144,6
11200154,12
11200156,20
11200166,1
11200183,13
11200185,3
11200186,1
11200188,19
11200189,33
11200191,1
11200192,124
11200194,2
11200195,1
11200196,3
11200197,5
11200198,15
11200203,1
11200206,174
11200207,10
11200210,2
11200211,7
11200219,10
11200221,1
11200222,2
11200223,1
11200224,32
11200225,5
11200227,10
11200228,4
11200229,2
11200230,4
11200234,14
11200239,87
11200242,2
11200243,1
11200244,2
11200246,2
11200248,1
11200249,1
11200260,7
11200261,2
11200262,3
11200263,4
11200266,17
11200267,7
11200271,3
11200277,6
11200278,1
11200279,1
11200281,1
11200282,3
11200285,1
11200286,1
11200308,4
11200310,1
11200311,1
11200316,1
11200317,1
11200318,1
11200337,2
11300000,37
11300002,4
11300003,7
11300005,123
11300006,40
11300007,17
11300008,55
11300009,38
11300010,56
11300011,55
11300012,9
11300013,4
11300014,5
11300015,31
11300019,9
11300020,14
11300021,1
11300022,9
11300023,1
11300025,8
11300026,9
11300027,1
11300037,17
11300038,1
11300039,2
11300041,19
11300042,23
11300043,69
11300044,33
11300045,70
11300046,42
11300048,79
11300049,6
11300050,9
11300052,28
11300053,9
11300054,16
11300055,16
11300056,2
11300057,34
11300058,89
11300059,107
11300061,13
11300065,1
11300067,1
11300071,4
11300080,1
11300087,1
11300099,4
11300103,2
11300112,2
11300117,1
11300120,2
11400000,188
11400003,120
11400006,56
11400007,7
11400010,64
11400015,1
11400025,2
11400028,321
11400029,231
11400031,4
11400032,2
11400034,4
11400035,3
11400036,2
11400043,1
11400044,5
11400045,1
11400046,1
11400052,4
11400054,12
11400056,11
11400061,2
11400063,1
11400064,5
11400067,2
11400068,3
11400071,1
11400073,1
11400077,1
11400079,1
11400098,3
11400099,1
11400100,52
11400118,3
11400127,1
11400136,3
11400137,3
11400138,4
11400140,1
11400142,13
11400143,10
11400144,1
11400146,1
11400151,14
11400152,1
11400161,1
11400162,1
11400164,5
11400171,5
11400172,2
11400174,3
11400175,1
11400176,1
11400178,14
11400179,5
11400186,1
11400188,1
11400191,1
11400194,2
11400200,1
11400205,1
11400206,1
11400207,1
11400209,2
11400210,1
11400211,1
11400219,2
11400220,1
11400226,20
11400227,1
11400228,1
11400229,1
11400235,20
11400245,1
11400246,2
11400250,2
11400252,3
11400254,1
11400255,2
11400256,1
11400257,24
11400258,54
11400259,10
11400263,1
11400264,1
11400265,1
11400267,1
11400268,89
11400269,4
11400275,1
11400279,6
11400281,7
11400288,1
11400289,14
11400292,1
11400304,1
11400306,1
11400307,1
11400308,5
11400309,7
11400310,8
11400317,8
11400318,1
11400322,1
11400324,1
11400325,3
11400326,5
11400333,2
11400334,2
11400335,17
11400336,1
11400337,35
11400338,8
11400343,2
11400344,2
11400345,1
11400360,1
11400380,1
11500000,1
11500002,1
11500003,4
11500006,1
11500009,1
11500010,25
11500011,31
11500012,27
11500013,3
11500021,1
11500028,1
11500041,1
11500042,3
11500062,4
11500084,1
11500086,1
11500097,1
11500100,1
11500101,9
11500108,2
11500115,3
11500116,2
11500117,1
11500120,8
11500121,15
11500122,17
11500123,2
11500124,1
11500126,9
11500127,1
11500128,1
11500132,2
11500144,1
11500145,1
11500153,2
11500155,1
11500159,22
11500160,7
11500161,4
11500162,2
11500163,3
11500164,7
1003706,490
1003707,287
1003708,304
1003709,1569
1003710,335
1003711,324
1003712,1028
1003713,406
1003714,260
1003721,17
1003723,5
1003725,1
1003726,46
1003727,5
1003728,7
1003729,6
1003730,3
1003731,5
1003732,79
1003733,2
1003734,20
1003735,11
1003736,1
1003738,564
1003740,1
1003741,1
1003742,1
1003744,3
1003745,4
1003746,53
1003747,15
1003748,12
1003749,24
1003750,26
1003751,4
1003752,14
1003755,1
1003756,97
1003757,53
1003758,2
1003760,16
1003761,1
1003762,9
1003763,5
1003764,1
1003765,1
1003768,78
1003769,49
1003770,1192
1003771,626
1003772,338
1003774,42
1003775,40
1003776,6
1003777,106
1003778,27
1003781,14
1003782,2
1003783,13
1003785,18
1003786,12
1003787,12
1003788,11
1003789,88
1003790,49
1003791,28
1003792,57
1003793,112
1003794,1
1003795,93
1003796,149
1003797,374
1003798,4
1003800,317
1003801,428
1003802,75
1003803,33
1003804,8
1003805,3
1003809,1
1003812,5
1003813,2
1003814,3
1003815,33
1003816,34
1003817,2
1003820,6
1003821,1
1003822,5
1003823,4
1003824,1
1003825,1
1003826,4
1003827,1
1003828,2
1003829,6
1003830,7
1003831,2
1003834,6
1003835,91
1003836,14
1003837,3
1003843,94
1003844,1
1003845,9
1003846,1
1003848,23
1003851,23
1003852,1690
1003853,2
1003854,299
1003855,478
1003856,109
1003857,313
1003859,489
1003860,203
1003861,104
1003862,136
1003863,14
1003864,15
1003865,65
1003866,118
1003867,65
1003869,386
1003870,72
1003871,4
1003877,1
1003878,3
1003879,84
1003882,11
1003883,50
1003886,2
1003887,2
1003888,3
1003890,710
1003891,4
1003892,13
1003893,10
1003894,15
1003895,97
1003896,83
1003898,30
1003899,41
1003900,8
1003901,33
1003902,1
1003903,56
1003904,10
1003905,1
1003906,128
1003907,62
1003908,45
1003909,75
1003910,61
1003911,384
1003912,138
1003913,158
1003918,30
1003919,21
1003920,42
1003921,2
1003922,28
1003923,67
1003924,62
1003925,11
1003926,31
1003927,4
1003934,2
1003935,5
1003936,2
1003937,15
1003938,7
1003941,13
1003942,17
1003943,4
1003944,10
1003947,5
1003948,2
1003949,2
1003951,312
1003952,74
1003953,67
1003954,2
1003962,2
1003964,3
1003965,10
1003966,18
1003967,3
1003969,3
1003973,7
1003974,10
1003975,5
1003976,1
1003979,14
1003980,6
1003982,29
1003983,5
1003984,20
1003988,2
1003991,4
1003992,4
1003995,1
1003997,5
1003998,1
1004000,1
1004010,1
1004014,1
1004015,2
1004016,2
1004017,1
1004019,2
10100001,1
10100003,1
10100005,1
10100010,2
10100015,1
10100047,2
10100050,5
10100051,2
10100052,2
10100054,1
10100055,1
10100058,1
10100065,2
10100073,2
10100178,1
10100180,2
10100198,2
10100202,29
10100231,1
10100255,1
10100267,2
10100282,5
10100288,1
10100319,3
10100320,9
10100331,1
10100347,1
10100393,1
10100397,1
10100400,5
10100403,1
10100404,2
10100411,2
10100445,1
10100449,1
10100458,1
10100506,1
10100536,2
10100537,2
10100543,2
10100576,1
10100627,1
10100646,1
10100665,2
10100667,1
10100668,1
10100674,2
10100690,1
10100722,2
10100731,2
10100734,1
10100751,1
10100753,1
10100766,1
10100767,5
10100781,1
10100794,1
10100811,2
10100816,1
10100822,2
10100825,4
10100846,1
10100856,1
10100868,1
10100875,1
10200006,1
10200038,19
10200096,1
10200162,3
10200192,1
10200224,2
10200240,1
10200274,1
10200284,2
10200353,47
10200391,2
10200392,9
10200401,1
10200404,3
10200405,2
10200411,2
10200413,1
10200415,2
10200417,1
10200418,3
10200419,1
10200434,4
10200491,1
10200497,1
10200509,2
10200512,1
10200530,1
10200531,2
10200535,1
10200561,1
10200562,1
10200583,3
10200595,1
10200648,2
10200659,1
10200681,1
10200682,1
10200691,1
10200713,2
10200740,1
10200748,3
10200753,1
10200754,1
10200758,3
10200769,1
10200785,1
10200786,1
10200790,1
10200799,1
10200805,1
10200809,2
10200813,2
10200845,1
10200851,1
10200853,3
10200854,2
10200855,2
10200856,13
10200857,1
10200859,1
10200860,2
10200862,3
10200863,14
10200865,2
10200866,1
10200867,4
10200868,7
10200869,4
10200870,8
10200871,2
10200876,8
10200877,2
10200878,1
10200882,2
10200883,2
10200891,1
10200892,1
10200894,2
10200897,8
10200899,4
10200912,2
10200914,2
10200917,1
10200927,1
10200928,1
10200930,1
10200931,8
10200950,9
10200958,1
10200961,1
10200963,4
10200967,4
10200968,3
10200970,1
10200979,2
10200980,1
10200984,1
10200986,1
10200987,5
10200988,2
10200989,1
10200990,3
10200996,2
10200997,1
10201001,1
10201002,1
10201005,3
10201008,1
10201012,1
10201013,3
10201021,1
10201036,1
10201056,1
10201059,1
10201060,1
10201063,5
10201064,1
10201067,1
10201078,1
10201082,1
10201084,2
10201093,2
10201107,2
10201111,2
10201112,1
10201113,1
10201121,1
10201124,2
10201133,1
10201138,1
10201147,1
10201148,2
10201149,3
10201161,1
10300004,3
10300015,1
10300016,1
10300024,1
10300025,2
10300030,7
10300036,1
10300150,1
10300167,1
10300253,2
10300384,1
10300408,1
10300463,1
10300464,1
10300466,1
10300467,1
10300483,1
10300510,1
10300573,1
10300577,1
10300579,1
10300580,1
10300637,2
10300638,2
10300650,2
10300679,2
10300863,1
10300936,1
10301018,3
10301019,1
10301066,1
10301070,3
10301114,1
10301120,1
10301121,1
10301140,2
10301141,1
10301153,3
10400005,1
10400006,1
10400007,2
10400009,1
10400011,1
10400013,1
10400017,1
10400019,1
10400027,1
10400028,1
10400029,2
10400034,1
10400035,1
10400037,1
10400058,1
10400060,1
10400061,3
10400069,1
10400072,1
10400073,1
10400078,1
10400079,3
10400081,2
10400083,1
10400087,2
10400094,4
10400101,2
10400108,1
10400125,1
10400135,3
10400175,1
10400190,1
10400196,2
10400197,2
10400201,1
10400214,1
10400241,1
10400244,2
10400250,1
10400251,3
10400266,1
10400276,1
10400291,1
10400294,1
10400295,3
10400298,1
10400319,1
10400322,2
10400328,1
10400329,2
10400330,2
10400333,3
10400334,2
10400344,1
10400351,2
10400354,4
10400356,1
10400360,3
10400361,1
10400362,1
10400371,1
10400383,2
10400386,1
10400388,2
10400389,1
10400390,3
10400391,1
10400392,1
10400393,2
10400394,1
10400395,3
10400413,1
10400414,1
10400415,1
10400416,1
10400417,6
10400418,3
10400420,3
10400422,1
10400424,3
10400426,1
10400427,3
10400428,1
10400435,3
10400438,3
10400443,3
10400446,1
10400455,1
10400458,1
10400463,2
10400466,1
10400467,1
10400469,2
10400470,7
10400472,7
10400474,3
10400477,2
10400478,3
10400480,1
10400482,4
10400483,2
10400488,1
10400494,1
10400498,1
10400501,1
10400512,2
10400513,1
10400521,1
10400527,1
10500049,1
10500052,2
10500053,1
10500063,1
10500139,1
10500225,2
10500292,2
10500312,1
10500376,1
10500383,1
10500396,1
10500405,1
10500429,1
10500445,2
10500508,2
10500593,1
10500631,1
10500633,1
10500642,1
10500643,2
10500652,1
10500684,1
10500798,2
10500810,1
10500862,1
10500867,1
10500875,5
10500912,1
10500942,1
10501012,4
10501030,1
10501037,1
10501040,1
10501067,6
10501068,1
10501078,1
10501177,1
10501181,2
10501248,1
10501353,1
10501366,3
10501386,1
10501401,1
10501487,1
10501491,1
10501492,1
10501505,1
10501508,4
10501516,1
10501535,2
10501541,2
10501550,2
10501552,1
10501571,1
10501611,1
10501618,1
10501623,1
10501626,2
10501632,2
10501635,1
10501636,1
10501661,1
10501666,1
10501669,1
10501674,4
10501675,3
10501684,4
10501694,3
10501696,1
10501699,1
10501700,1
10501702,2
10501704,2
10501710,1
10501711,2
10501725,1
10501730,3
10501731,1
10501736,1
10501780,1
10501787,1
10501788,1
10501792,8
10501804,1
10501808,1
10501815,1
10501817,3
10501819,1
10501821,1
10501850,1
10501894,1
10501897,1
10501899,1
10501901,2
10501903,1
10501915,1
10501917,2
10501919,2
10501929,2
10501944,1
10501945,1
10501954,1
10501961,4
10501962,3
10501963,1
10501978,1
10501980,2
10501992,3
10502023,1
10502034,1
10502041,1
11500171,1
11500175,10
11500178,7
11500179,1
11500184,2
11500186,2
11500187,1
11500194,1
11500195,10
11500196,1
11500202,1
11500205,1
11500210,1
11500211,8
11500214,1
11500217,1
11500218,4
11500220,1
11500225,22
11500226,3
11500227,5
11500230,5
11500231,3
11500232,2
11500233,3
11500234,2
11500235,8
11500236,3
